"RDA element,RDA recording method,Alignment,M21 Bibliographic encoding"
"respondent,unstructured description,aligns with,500 ** $a"
"respondent,structured description,aligns with,""100 0* $a, b, c, d, g, q, u"""
"respondent,structured description,aligns with,""100 1* $a, b, c, d, g, q, u"""
"respondent,structured description,aligns with,""700 0* $a, b, c, d, g, q, u"""
"respondent,structured description,aligns with,""700 1* $a, b, c, d, g, q, u"""
"respondent,identifier,aligns with,100 0* $0"
"respondent,identifier,aligns with,100 1* $0"
"respondent,identifier,aligns with,700 0* $0"
"respondent,identifier,aligns with,700 1* $0"
"respondent,IRI,aligns with,100 0* $1"
"respondent,IRI,aligns with,100 1* $1"
"respondent,IRI,aligns with,700 0* $1"
"respondent,IRI,aligns with,700 1* $1"
"identifier for work,identifier,aligns with,""024 7* $a, d"""
"identifier for work,identifier,aligns with,024 7* $z"
"identifier for work,identifier,aligns with,""024 8* $a, d"""
"identifier for work,identifier,aligns with,024 8* $z"
"identifier for work,identifier,aligns with,130 ** $0"
"identifier for work,identifier,aligns with,240 ** $0"
"identifier for work,identifier,aligns with,700 ** $0"
"identifier for work,identifier,aligns with,730 ** $0"
"identifier for work,identifier,aligns with,730 ** $x"
"identifier for work,IRI,aligns with,130 ** $1"
"identifier for work,IRI,aligns with,240 ** $1"
"identifier for work,IRI,aligns with,700 ** $1"
"identifier for work,IRI,aligns with,730 ** $1"
"category of work,structured description,aligns with,380 ** $a"
"category of work,identifier,aligns with,380 ** $0"
"category of work,IRI,aligns with,380 ** $1"
"appellee corporate body,unstructured description,aligns with,500 ** $a"
"appellee corporate body,structured description,aligns with,""710 ** $a, b, c, d, g, u"""
"appellee corporate body,identifier,aligns with,710 ** $0"
"appellee corporate body,IRI,aligns with,710 ** $1"
"degree granting institution,unstructured description,aligns with,500 ** $a"
"degree granting institution,unstructured description,aligns with,502 ** $a"
"degree granting institution,structured description,aligns with,""502 ** $c, g"""
"degree granting institution,structured description,aligns with,""710 ** $a, b, c, d, g, u"""
"degree granting institution,identifier,aligns with,710 ** $0"
"degree granting institution,IRI,aligns with,710 ** $1"
"hosting institution,unstructured description,aligns with,500 ** $a"
"hosting institution,structured description,aligns with,""710 ** $a, b, c, d, g, u"""
"hosting institution,identifier,aligns with,710 ** $0"
"hosting institution,IRI,aligns with,710 ** $1"
"production company,unstructured description,aligns with,500 ** $a"
"production company,unstructured description,aligns with,508 ** $a"
"production company,structured description,aligns with,""710 ** $a, b, c, d, g, u"""
"production company,identifier,aligns with,710 ** $0"
"production company,IRI,aligns with,710 ** $1"
"appellant corporate body,unstructured description,aligns with,500 ** $a"
"appellant corporate body,structured description,aligns with,""710 ** $a, b, c, d, g, u"""
"appellant corporate body,identifier,aligns with,710 ** $0"
"appellant corporate body,IRI,aligns with,710 ** $1"
"plaintiff corporate body,unstructured description,aligns with,500 ** $a"
"plaintiff corporate body,structured description,aligns with,""710 ** $a, b, c, d, g, u"""
"plaintiff corporate body,identifier,aligns with,710 ** $0"
"plaintiff corporate body,IRI,aligns with,710 ** $1"
"court governed,unstructured description,aligns with,500 ** $a"
"court governed,structured description,aligns with,""710 ** $a, b, c, d, g, u"""
"court governed,identifier,aligns with,710 ** $0"
"court governed,IRI,aligns with,710 ** $1"
"numbering of part,unstructured description,aligns with,100 ** $n"
"numbering of part,unstructured description,aligns with,110 ** $n"
"numbering of part,unstructured description,aligns with,130 ** $n"
"numbering of part,unstructured description,aligns with,240 ** $n"
"numbering of part,unstructured description,aligns with,243 ** $n"
"numbering of part,unstructured description,aligns with,245 ** $n"
"numbering of part,unstructured description,aligns with,500 ** $a"
"numbering of part,unstructured description,aligns with,700 ** $n"
"numbering of part,unstructured description,aligns with,710 ** $n"
"numbering of part,unstructured description,aligns with,730 ** $n"
"numbering of part,unstructured description,aligns with,800 ** $n"
"numbering of part,unstructured description,aligns with,810 ** $n"
"numbering of part,unstructured description,aligns with,830 ** $n"
"film director agent,unstructured description,aligns with,500 ** $a"
"film director agent,unstructured description,aligns with,508 ** $a"
"film director agent,structured description,aligns with,""700 ** $a, b, c, d, g, q, u"""
"film director agent,structured description,aligns with,""710 ** $a, b, c, d, g, u"""
"film director agent,identifier,aligns with,700 ** $0"
"film director agent,identifier,aligns with,710 ** $0"
"film director agent,IRI,aligns with,700 ** $1"
"film director agent,IRI,aligns with,710 ** $1"
"radio director agent,unstructured description,aligns with,500 ** $a"
"radio director agent,unstructured description,aligns with,508 ** $a"
"radio director agent,structured description,aligns with,""700 ** $a, b, c, d, g, q, u"""
"radio director agent,structured description,aligns with,""710 ** $a, b, c, d, g, u"""
"radio director agent,identifier,aligns with,700 ** $0"
"radio director agent,identifier,aligns with,710 ** $0"
"radio director agent,IRI,aligns with,700 ** $1"
"radio director agent,IRI,aligns with,710 ** $1"
