Canonical URI,Lexical alias (English)
rdau:P60001,rdau:respondentOf.en
rdau:P60002,rdau:degreeGrantingInstitutionOf.en
rdau:P60003,rdau:hostInstitutionOf.en
rdau:P60004,rdau:productionCompanyOf.en
rdau:P60005,rdau:courtGovernedOf.en
rdau:P60006,rdau:collectorOf.en
rdau:P60007,rdau:collectionRegistrarOf.en
rdau:P60008,rdau:depositorOf.en
rdau:P60009,rdau:filmDirectorOf.en
rdau:P60010,rdau:radioDirectorOf.en
rdau:P60011,rdau:televisionDirectorOf.en
rdau:P60012,rdau:donorOf.en
rdau:P60013,rdau:sellerOf.en
rdau:P60014,rdau:enactingJurisdictionOf.en
rdau:P60015,rdau:jurisdictionGovernedOf.en
rdau:P60016,rdau:conductorOf.en
rdau:P60017,rdau:actorOf.en
rdau:P60018,rdau:onScreenPresenterOf.en
rdau:P60019,rdau:dancerOf.en
rdau:P60020,rdau:teacherOf.en
rdau:P60021,rdau:hostOf.en
rdau:P60022,rdau:moderatorOf.en
rdau:P60023,rdau:puppeteerOf.en
rdau:P60024,rdau:panelistOf.en
rdau:P60025,rdau:instrumentalistOf.en
rdau:P60026,rdau:commentatorOf.en
rdau:P60027,rdau:voiceActorOf.en
rdau:P60028,rdau:narratorOf.en
rdau:P60029,rdau:storytellerOf.en
rdau:P60030,rdau:speakerOf.en
rdau:P60031,rdau:singerOf.en
rdau:P60032,rdau:mediumOf.en
rdau:P60033,rdau:filmProducerOf.en
rdau:P60034,rdau:radioProducerOf.en
rdau:P60035,rdau:televisionProducerOf.en
rdau:P60036,rdau:alternateIdentity.en
rdau:P60037,rdau:realIdentity.en
rdau:P60045,rdau:respondent.en
rdau:P60046,rdau:undifferentiatedNameIndicator.en
rdau:P60047,rdau:typeOfAgent.en
rdau:P60048,rdau:carrierType.en
rdau:P60049,rdau:contentType.en
rdau:P60050,rdau:mediaType.en
rdau:P60051,rdau:modeOfIssuance.en
rdau:P60052,rdau:identifierForTheResource.en
rdau:P60053,rdau:identifierForTheAgent.en
rdau:P60054,rdau:otherDistinguishingCharacteristicOfTheResource.en
rdau:P60056,rdau:noteOnResourceSpecificCarrierCharacteristic.en
rdau:P60057,rdau:preferredCitation.en
rdau:P60058,rdau:formOfResource.en
rdau:P60059,rdau:regionalEncoding.en
rdau:P60060,rdau:degreeGrantingInstitution.en
rdau:P60061,rdau:hostInstitution.en
rdau:P60062,rdau:productionCompany.en
rdau:P60063,rdau:countryAssociatedWithThePerson.en
rdau:P60065,rdau:courtGoverned.en
rdau:P60066,rdau:collector.en
rdau:P60067,rdau:collectionRegistrar.en
rdau:P60068,rdau:depositor.en
rdau:P60069,rdau:copyrightDate.en
rdau:P60070,rdau:dateOfDistribution.en
rdau:P60071,rdau:dateOfProduction.en
rdau:P60072,rdau:dateOfManufacture.en
rdau:P60073,rdau:dateOfPublication.en
rdau:P60074,rdau:dateOfCapture.en
rdau:P60075,rdau:dateOfUsage.en
rdau:P60076,rdau:periodOfActivityOfTheAgent.en
rdau:P60077,rdau:parallelDesignationOfANamedRevisionOfAnEdition.en
rdau:P60078,rdau:parallelDesignationOfEdition.en
rdau:P60079,rdau:numberOfAConferenceEtc.en
rdau:P60080,rdau:numberingOfPart.en
rdau:P60081,rdau:numberingWithinSeries.en
rdau:P60082,rdau:numberingWithinSubseries.en
rdau:P60083,rdau:electronicReproduction.en
rdau:P60084,rdau:filmDirector.en
rdau:P60085,rdau:radioDirector.en
rdau:P60086,rdau:televisionDirector.en
rdau:P60087,rdau:parallelDistributorsName.en
rdau:P60088,rdau:dramatizedAs.en
rdau:P60089,rdau:fieldOfActivity.en
rdau:P60090,rdau:award.en
rdau:P60091,rdau:donor.en
rdau:P60092,rdau:seller.en
rdau:P60093,rdau:fileType.en
rdau:P60095,rdau:affiliation.en
rdau:P60096,rdau:enactingJurisdiction.en
rdau:P60097,rdau:jurisdictionGoverned.en
rdau:P60098,rdau:languageOfTheAgent.en
rdau:P60099,rdau:languageOfTheContent.en
rdau:P60100,rdau:facsimileContainedIn.en
rdau:P60101,rdau:containedIn.en
rdau:P60102,rdau:sequel.en
rdau:P60103,rdau:replacedInPartBy.en
rdau:P60104,rdau:replacedBy.en
rdau:P60106,rdau:adaptedInVerseAs.en
rdau:P60107,rdau:locationOfConferenceEtc.en
rdau:P60108,rdau:parallelManufacturersName.en
rdau:P60109,rdau:coordinatesOfCartographicContent.en
