rdaw:P10001,rdaw:respondent
rdaw:P10002,rdaw:identifierForTheWork
rdaw:P10003,rdaw:otherDistinguishingCharacteristicOfTheWork
rdaw:P10004,rdaw:formOfWork
rdaw:P10005,rdaw:appelleeCorporateBody
rdaw:P10006,rdaw:degreeGrantingInstitution
rdaw:P10007,rdaw:hostInstitution
rdaw:P10008,rdaw:productionCompany
rdaw:P10009,rdaw:appellantCorporateBody
rdaw:P10010,rdaw:plaintiffCorporateBody
rdaw:P10011,rdaw:courtGoverned
rdaw:P10012,rdaw:numberingOfPart
rdaw:P10013,rdaw:filmDirector
rdaw:P10014,rdaw:radioDirector
rdaw:P10015,rdaw:televisionDirector
rdaw:P10016,rdaw:dramatizedAsWork
rdaw:P10017,rdaw:enactingJurisdiction
rdaw:P10018,rdaw:jurisdictionGoverned
rdaw:P10019,rdaw:containedInWork
rdaw:P10020,rdaw:sequel
rdaw:P10021,rdaw:replacedInPartByWork
rdaw:P10022,rdaw:replacedByWork
rdaw:P10023,rdaw:adaptedInVerseAsWork
rdaw:P10024,rdaw:coordinatesOfCartographicContent
rdaw:P10025,rdaw:adaptedAsMotionPictureWork
rdaw:P10026,rdaw:cadenzaWork
rdaw:P10027,rdaw:variationsBasedOnWork
rdaw:P10028,rdaw:modifiedByVariationAsWork
rdaw:P10029,rdaw:cadenzaComposedForWork
rdaw:P10030,rdaw:librettoForWork
rdaw:P10031,rdaw:incidentalMusicWork
rdaw:P10032,rdaw:remadeAsWork
rdaw:P10033,rdaw:setToMusicAsWork
rdaw:P10034,rdaw:adaptedAsNovelWork
rdaw:P10035,rdaw:appelleePerson
rdaw:P10036,rdaw:medium
rdaw:P10037,rdaw:appellee
rdaw:P10038,rdaw:appellant
rdaw:P10039,rdaw:plaintiff
rdaw:P10040,rdaw:defendant
rdaw:P10041,rdaw:degreeSupervisor
rdaw:P10042,rdaw:appellantPerson
rdaw:P10043,rdaw:plaintiffPerson
rdaw:P10044,rdaw:judge
rdaw:P10045,rdaw:praeses
