*label_en,lexicalAlias_en,*uri,*type,domain,range,subPropertyOf[0],subPropertyOf[1],inverseOf,*status
has related RDA entity of RDA entity,rdax:relatedRDAEntityOfRDAEntity.en,rdaxo:P00001,property,rdac:C10013,rdac:C10013,rdax:P00001,,rdaxo:P00001,Published
has related work of RDA entity,rdax:relatedWorkOfRDAEntity.en,rdaxo:P00002,property,rdac:C10013,rdac:C10001,rdax:P00002,rdaxo:P00001,rdawo:P10307,Published
has related expression of RDA entity,rdax:relatedExpressionOfRDAEntity.en,rdaxo:P00003,property,rdac:C10013,rdac:C10006,rdax:P00003,rdaxo:P00001,rdaeo:P20297,Published
has related manifestation of RDA entity,rdax:relatedManifestationOfRDAEntity.en,rdaxo:P00004,property,rdac:C10013,rdac:C10007,rdax:P00004,rdaxo:P00001,rdamo:P30264,Published
has related item of RDA entity,rdax:relatedItemOfRDAEntity.en,rdaxo:P00005,property,rdac:C10013,rdac:C10003,rdax:P00005,rdaxo:P00001,rdaio:P40068,Published
has related agent of RDA entity,rdax:relatedAgentOfRDAEntity.en,rdaxo:P00006,property,rdac:C10013,rdac:C10002,rdax:P00006,rdaxo:P00001,rdaao:P50304,Published
has related person of RDA entity,rdax:relatedPersonOfRDAEntity.en,rdaxo:P00007,property,rdac:C10013,rdac:C10004,rdax:P00007,rdaxo:P00006,rdaao:P50310,Published
has related family of RDA entity,rdax:relatedFamilyOfRDAEntity.en,rdaxo:P00008,property,rdac:C10013,rdac:C10008,rdax:P00008,rdaxo:P00012,rdaao:P50319,Published
has related corporate body of RDA entity,rdax:relatedCorporateBodyOfRDAEntity.en,rdaxo:P00009,property,rdac:C10013,rdac:C10005,rdax:P00009,rdaxo:P00012,rdaao:P50328,Published
has related place of RDA entity,rdax:relatedPlaceOfRDAEntity.en,rdaxo:P00010,property,rdac:C10013,rdac:C10009,rdax:P00010,rdaxo:P00001,rdapo:P70013,Published
has related timespan of RDA entity,rdax:relatedTimespanOfRDAEntity.en,rdaxo:P00011,property,rdac:C10013,rdac:C10010,rdax:P00011,rdaxo:P00001,rdato:P70010,Published
has related collective agentof RDA entity,rdax:relatedCollectiveAgentOfRDAEntity.en,rdaxo:P00012,property,rdac:C10013,rdac:C10011,rdax:P00012,rdaxo:P00006,rdaao:P50360,Published
has related nomen of RDA entity,rdax:relatedNomenOfRDAEntity.en,rdaxo:P00013,property,rdac:C10013,rdac:C10012,rdax:P00013,rdaxo:P00001,rdano:P80010,Published
is subject RDA entity of,rdaxo:subjectRDAEntityOf.en,rdaxo:P00014,property,rdac:C10013,rdac:C10001,rdax:P00014,rdaxo:P00002,rdawo:P10324,Published
has access point for RDA entity,rdaxo:accessPointForRDAEntity.en,rdaxo:P00016,property,rdac:C10013,rdac:C10012,rdax:P00016,rdaxo:P00017,rdano:P80159,Published
has appellation of RDA entity,rdaxo:appellationOfRDAEntity.en,rdaxo:P00017,property,rdac:C10013,rdac:C10012,rdax:P00017,rdaxo:P00013,rdano:P80112,Published
has identifier for RDA entity,rdaxo:identifierForRDAEntity.en,rdaxo:P00018,property,rdac:C10013,rdac:C10012,rdax:P00018,rdaxo:P00017,rdano:P80160,Published
has name of RDA entity,rdaxo:nameOfRDAEntity.en,rdaxo:P00019,property,rdac:C10013,rdac:C10012,rdax:P00019,rdaxo:P00017,rdano:P80161,Published
has authorized access point for RDA entity,rdaxo:authorizedAccessPointForRDAEntity.en,rdaxo:P00020,property,rdac:C10013,rdac:C10012,rdax:P00020,rdaxo:P00016,rdano:P80162,Published
has preferred name of RDA entity,rdaxo:preferredNameOfRDAEntity.en,rdaxo:P00021,property,rdac:C10013,rdac:C10012,rdax:P00021,rdaxo:P00019,rdano:P80163,Published
has variant access point for RDA entity,rdaxo:variantAccessPointForRDAEntity.en,rdaxo:P00022,property,rdac:C10013,rdac:C10012,rdax:P00022,rdaxo:P00016,rdano:P80165,Published
has variant name of RDA entity,rdaxo:variantNameOfRDAEntity.en,rdaxo:P00023,property,rdac:C10013,rdac:C10012,rdax:P00023,rdaxo:P00019,rdano:P80164,Published
is RDA entity critiqued in,rdaxo:RDAEntityCritiquedIn.en,rdaxo:P00024,property,rdac:C10013,rdac:C10001,rdax:P00024,rdaxo:P00014,rdawo:P10359,Published
is RDA entity described in,rdaxo:RDAEntityDescribedIn.en,rdaxo:P00025,property,rdac:C10013,rdac:C10001,rdax:P00025,rdaxo:P00014,rdawo:P10360,Published
is RDA entity evaluated in,rdaxo:RDAEntityEvaluatedIn.en,rdaxo:P00026,property,rdac:C10013,rdac:C10001,rdax:P00026,rdaxo:P00014,rdawo:P10361,Published
is RDA entity reviewed in,rdaxo:RDAEntityReviewedIn.en,rdaxo:P00027,property,rdac:C10013,rdac:C10001,rdax:P00027,rdaxo:P00014,rdawo:P10362,Published
